                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.2788,                0.94828,                 1.5292,                0.89133,                0.85128,                0.91302,                0.58116,                 1.1516,                0.72762,                 1.4927,              0.0098317,              0.0098317,              0.0098317
                     88,                 1.2785,                0.96747,                 1.5331,                0.87617,                0.85576,                 0.9091,                0.57928,                 1.1626,                0.72941,                 1.5048,              0.0098297,              0.0098297,              0.0098297
                     89,                 1.2727,                0.94827,                 1.5314,                0.88624,                0.85906,                0.91443,                 0.5813,                 1.1505,                0.72539,                 1.4805,              0.0098277,              0.0098277,              0.0098277
                     90,                 1.2623,                0.92307,                 1.5165,                0.88372,                0.86333,                0.91329,                0.58266,                 1.1583,                0.72515,                 1.4889,              0.0098258,              0.0098258,              0.0098258
                     91,                 1.2782,                0.93711,                  1.532,                0.87075,                 0.8687,                0.91295,                0.58362,                  1.147,                0.71423,                 1.4797,              0.0098238,              0.0098238,              0.0098238
                     92,                  1.244,                0.93122,                 1.5159,                0.88303,                 0.8679,                0.91633,                0.58737,                 1.1432,                0.71206,                 1.4797,              0.0098218,              0.0098218,              0.0098218
                     93,                 1.2466,                 0.9139,                 1.5112,                0.88661,                 0.8696,                0.91818,                 0.5877,                 1.1386,                0.70867,                 1.4822,              0.0098198,              0.0098198,              0.0098198
                     94,                 1.2593,                0.92739,                 1.5072,                0.88811,                0.87289,                0.91996,                0.59099,                 1.1399,                0.70174,                 1.4787,              0.0098178,              0.0098178,              0.0098178
                     95,                  1.255,                0.92858,                  1.517,                0.88803,                0.86237,                  0.917,                0.58692,                 1.1388,                0.70362,                 1.4786,              0.0098159,              0.0098159,              0.0098159
                     96,                 1.2661,                0.94327,                 1.5219,                0.88432,                0.86745,                0.91648,                0.58947,                 1.1406,                0.70676,                  1.474,              0.0098139,              0.0098139,              0.0098139
                     97,                 1.2427,                0.91933,                  1.504,                0.88792,                0.87215,                0.91931,                0.59128,                 1.1361,                0.70138,                 1.4702,              0.0098119,              0.0098119,              0.0098119
                     98,                 1.2558,                 0.9233,                 1.5138,                0.89882,                 0.8726,                0.92506,                0.60024,                 1.1264,                0.69001,                 1.4658,              0.0098099,              0.0098099,              0.0098099
                     99,                 1.2474,                0.91601,                 1.4955,                0.89123,                0.86735,                0.92082,                0.59548,                  1.121,                0.69189,                 1.4654,              0.0098079,              0.0098079,              0.0098079
                    100,                  1.241,                0.91568,                 1.5079,                0.89114,                0.87073,                0.92465,                0.60294,                 1.1121,                0.67514,                 1.4606,               0.009806,               0.009806,               0.009806
                    101,                 1.2306,                0.89977,                 1.4954,                0.89246,                0.87241,                 0.9225,                 0.5999,                 1.1171,                0.67431,                 1.4583,               0.009804,               0.009804,               0.009804
                    102,                 1.2315,                0.90994,                 1.5033,                 0.8973,                0.87825,                0.92637,                0.60019,                 1.1247,                 0.6804,                 1.4632,               0.009802,               0.009802,               0.009802
                    103,                  1.232,                0.88997,                  1.485,                0.89473,                0.88173,                0.92736,                0.60384,                 1.1138,                0.67175,                 1.4472,                 0.0098,                 0.0098,                 0.0098
                    104,                 1.2234,                0.88785,                 1.4916,                0.89478,                0.88047,                0.92749,                0.60729,                 1.1035,                0.66821,                 1.4434,               0.009798,               0.009798,               0.009798
                    105,                 1.2292,                0.88883,                  1.489,                 0.9001,                0.87343,                0.92881,                0.60625,                 1.1047,                0.66565,                 1.4436,              0.0097961,              0.0097961,              0.0097961
                    106,                 1.2321,                 0.8952,                 1.4904,                0.89339,                0.87351,                0.92676,                0.60168,                 1.1229,                0.68144,                 1.4542,              0.0097941,              0.0097941,              0.0097941
                    107,                 1.2275,                0.88862,                 1.4913,                0.89812,                0.88467,                 0.9299,                0.60723,                 1.1141,                0.66392,                 1.4457,              0.0097921,              0.0097921,              0.0097921
                    108,                 1.2217,                0.88897,                 1.4954,                0.89808,                0.87613,                0.92779,                0.60791,                 1.0941,                0.67298,                 1.4365,              0.0097901,              0.0097901,              0.0097901
                    109,                 1.2374,                0.89432,                 1.4993,                0.89137,                 0.8803,                0.92824,                0.60955,                 1.1002,                0.66131,                 1.4352,              0.0097881,              0.0097881,              0.0097881
                    110,                 1.2438,                0.89561,                 1.4956,                0.89865,                0.87729,                0.92959,                0.61296,                 1.0918,                 0.6472,                 1.4237,              0.0097862,              0.0097862,              0.0097862
                    111,                 1.2316,                0.89615,                 1.4941,                0.89613,                0.88278,                0.93128,                 0.6133,                 1.0896,                0.65794,                 1.4289,              0.0097842,              0.0097842,              0.0097842
                    112,                 1.2209,                0.86533,                 1.4804,                0.89817,                0.89362,                0.93481,                0.61469,                  1.087,                0.64493,                 1.4293,              0.0097822,              0.0097822,              0.0097822
                    113,                 1.2155,                 0.8777,                 1.4909,                0.89702,                0.88252,                0.93157,                0.61436,                  1.081,                0.65831,                 1.4201,              0.0097802,              0.0097802,              0.0097802
                    114,                 1.2208,                0.88177,                 1.4726,                0.89925,                0.88474,                0.93111,                0.61733,                 1.0797,                0.64769,                 1.4208,              0.0097782,              0.0097782,              0.0097782
                    115,                 1.2162,                0.86335,                 1.4808,                0.90084,                0.88358,                 0.9325,                0.61734,                 1.0817,                0.65125,                 1.4233,              0.0097763,              0.0097763,              0.0097763
                    116,                 1.2225,                0.89869,                 1.4884,                0.90001,                0.88464,                0.93207,                0.61776,                 1.0799,                0.64986,                 1.4169,              0.0097743,              0.0097743,              0.0097743
                    117,                 1.2193,                0.87799,                 1.4681,                0.90473,                0.89184,                0.93769,                0.61675,                 1.0897,                0.64025,                 1.4254,              0.0097723,              0.0097723,              0.0097723
                    118,                 1.2208,                0.87668,                 1.4804,                0.89654,                0.88621,                0.93192,                0.61658,                 1.0713,                0.64746,                 1.4144,              0.0097703,              0.0097703,              0.0097703
                    119,                 1.1967,                0.87019,                 1.4602,                0.90695,                0.88343,                 0.9335,                0.61914,                 1.0772,                0.63989,                 1.4089,              0.0097683,              0.0097683,              0.0097683
                    120,                 1.2139,                 0.8615,                 1.4786,                0.90111,                 0.8843,                0.93288,                0.61809,                 1.0736,                0.64965,                 1.4185,              0.0097664,              0.0097664,              0.0097664
                    121,                 1.2073,                0.85621,                 1.4706,                0.90148,                0.88907,                0.93626,                0.62417,                 1.0697,                0.64105,                 1.4122,              0.0097644,              0.0097644,              0.0097644
                    122,                 1.2136,                0.86304,                 1.4682,                0.90422,                0.89287,                0.93561,                0.62447,                 1.0677,                0.62761,                 1.4065,              0.0097624,              0.0097624,              0.0097624
                    123,                 1.2152,                0.86836,                 1.4726,                0.90393,                0.89022,                0.93631,                0.62572,                 1.0652,                0.63317,                 1.4044,              0.0097604,              0.0097604,              0.0097604
                    124,                  1.195,                0.86016,                 1.4552,                0.90984,                0.89367,                0.93898,                0.62312,                 1.0683,                 0.6285,                 1.4044,              0.0097584,              0.0097584,              0.0097584
                    125,                 1.2035,                 0.8528,                 1.4578,                0.90902,                0.88977,                0.93771,                0.63144,                 1.0525,                0.61605,                  1.388,              0.0097565,              0.0097565,              0.0097565
                    126,                  1.185,                0.85064,                 1.4557,                0.90873,                0.89391,                0.94073,                0.63273,                 1.0538,                0.60818,                 1.3892,              0.0097545,              0.0097545,              0.0097545
                    127,                 1.1915,                0.85282,                 1.4595,                0.90113,                0.89196,                0.93697,                0.62518,                 1.0595,                0.63074,                 1.3933,              0.0097525,              0.0097525,              0.0097525
                    128,                 1.1815,                0.83686,                 1.4612,                0.91083,                0.89163,                0.94169,                0.62939,                 1.0559,                0.61881,                  1.397,              0.0097505,              0.0097505,              0.0097505
                    129,                 1.1963,                0.84664,                 1.4637,                0.90012,                0.89654,                0.93885,                0.63201,                 1.0452,                 0.6243,                 1.3873,              0.0097485,              0.0097485,              0.0097485
                    130,                 1.1996,                0.85026,                 1.4429,                0.91341,                0.88557,                0.94028,                0.62947,                 1.0566,                0.62349,                 1.3964,              0.0097466,              0.0097466,              0.0097466
                    131,                  1.187,                 0.8371,                 1.4412,                 0.9089,                  0.898,                0.94073,                0.63159,                 1.0536,                  0.617,                  1.394,              0.0097446,              0.0097446,              0.0097446
                    132,                 1.1846,                0.83635,                 1.4589,                0.90601,                0.89712,                0.94111,                 0.6282,                 1.0555,                0.61836,                 1.3937,              0.0097426,              0.0097426,              0.0097426
                    133,                 1.1899,                0.86041,                 1.4567,                0.90643,                0.89369,                0.94185,                0.63604,                 1.0508,                0.60824,                  1.392,              0.0097406,              0.0097406,              0.0097406
